,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particle,Field,Livetime,Realtime,Tier,Area,Average diameter,Perimeter,Orientation,Max circle radius,Area in pixels,Volume of sphere,Equivalent diameter,Class,Total,C,O,Na,Cl,Al,Fe,Cu,Mg,Sr,S,N,Si,K,Ca,Tl,Cr,Pd,Mo,W,F,V,Sc,Ni,Ru,Ba,Rh,P,Mn,B,Field,Area,Average diameter,Volume of sphere
P30,9,10.517,10.517,0,0.424988,0.887173,2.666043,13,0.292637,21,0.654755,0.735603,Unclassified,1,0.6794093102,0.2579087375,0.0028769242,,0.0187090566,,,,,,,0.0265011508,,0.0145948208,,,,,,,,,,,,,,,,9,0.424988,0.887173,0.654755
P31,9,9.332,9.332,0,0.667838,1.111371,3.359657,81,0.327179,33,1.289795,0.922127,Unclassified,1,0.8600678617,0.1375459868,,,,,,,,,,0.0023861515,,,,,,,,,,,,,,,,,,9,0.667838,1.111371,1.289795
P32,9,11.742,11.742,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7873271681,0.2050141905,0.0076586414,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08095,0.362155,0.05443
P33,10,10.849,10.849,0,0.182138,0.543232,1.619077,0,0.292637,9,0.183702,0.481565,Unclassified,1,0.7716069024,0.1749297591,0.0238268238,0.0260402174,,,,0.0025062243,,,,0.0010900731,,,,,,,,,,,,,,,,,,10,0.182138,0.543232,0.183702
P34,10,12.837,12.837,0,0.121425,0.450148,1.341639,90,0.146319,6,0.099995,0.393196,Unclassified,1,0.7935135392,0.1751177654,0.0141600999,0.0067001046,,,,0.0043637449,,0.0051988373,,0.0009459087,,,,,,,,,,,,,,,,,,10,0.121425,0.450148,0.099995
P35,10,11.708,11.708,0,0.505938,0.946301,2.897932,68,0.327179,25,0.850471,0.802608,Unclassified,1,0.7613917621,0.2244282476,0.0056834629,,,,,0.0035052021,,0.0049913252,,,,,,,,,,,,,,,,,,,,10,0.505938,0.946301,0.850471
P36,10,9.135,9.135,0,0.384513,0.815439,2.454682,42,0.292637,19,0.563482,0.699698,Unclassified,1,0.7530864261,0.1543805516,0.0356138587,0.0553918805,,,,0.0015272831,,,,,,,,,,,,,,,,,,,,,,10,0.384513,0.815439,0.563482
P37,11,11.226,11.226,0,0.344038,0.732984,2.177245,66,0.292637,17,0.476895,0.661848,Unclassified,1,0.7741220303,0.2145935636,0.0072145514,,,,,0.0010856176,,0.0025076696,,0.0004765675,,,,,,,,,,,,,,,,,,11,0.344038,0.732984,0.476895
P38,12,9.676,9.676,0,0.141663,0.511702,1.522634,103,0.146319,7,0.126008,0.4247,Unclassified,1,0.8402413716,0.1584602957,,,,,,,,,,0.0012983327,,,,,,,,,,,,,,,,,,12,0.141663,0.511702,0.126008
P39,12,10.775,10.775,0,0.08095,0.402359,1.194303,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7597916145,0.2193338771,0.010194321,0.0044062935,,,,0.0017299013,,0.0026769825,,,,0.0018670102,,,,,,,,,,,,,,,,12,0.08095,0.402359,0.05443
P40,12,12.47,12.47,0,0.08095,0.402359,1.194303,27,0.146319,4,0.05443,0.321043,Unclassified,1,0.8044236325,0.1626444829,0.0150848879,0.0066132408,,,,0.0041547364,,0.0070790196,,,,,,,,,,,,,,,,,,,,12,0.08095,0.402359,0.05443
P41,13,8.338,8.338,0,1.072589,1.337681,4.061868,100,0.438956,53,2.625206,1.168616,Unclassified,1,0.762625903,0.127489312,0.0352571578,0.0742117403,,,,0.0004158869,,,,,,,,,,,,,,,,,,,,,,13,1.072589,1.337681,2.625206
P42,14,11.418,11.418,0,0.121425,0.450148,1.341639,90,0.146319,6,0.099995,0.393196,Unclassified,1,0.8043892535,0.1655530194,0.0088917255,0.0211660016,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.121425,0.450148,0.099995
P43,14,10.307,10.307,0,0.202375,0.583437,1.733995,153,0.206926,10,0.215154,0.507614,Unclassified,1,0.7712514335,0.2057461335,,,,,,,,0.0028801352,,,,,,0.0201222978,,,,,,,,,,,,,,14,0.202375,0.583437,0.215154
