,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particle,Field,Livetime,Realtime,Tier,Area,Average diameter,Perimeter,Orientation,Max circle radius,Area in pixels,Volume of sphere,Equivalent diameter,Class,Total,C,O,Na,Cl,Al,Fe,Cu,Mg,Sr,S,N,Si,K,Ca,Tl,Cr,Pd,Mo,W,F,V,Sc,Ni,Ru,Ba,Rh,P,Mn,B,Field,Area,Average diameter,Volume of sphere
P468,147,12.22,12.22,0,0.526176,0.922736,2.735412,111,0.413852,26,0.902007,0.818503,Unclassified,1,0.7442768493,0.1778740949,,0.0049362254,,0.0177456097,,,,,,0.001639228,,,,0.0092452894,,,,,,,0.0442827033,,,,,,,147,0.526176,0.922736,0.902007
P469,148,10.606,10.606,0,0.465463,0.876992,2.635677,90,0.327179,23,0.750484,0.769835,Unclassified,1,0.7816962575,0.1758949263,0.0193041796,0.0203558858,,,,0.0027487509,,,,,,,,,,,,,,,,,,,,,,148,0.465463,0.876992,0.750484
P470,148,11.016,11.016,0,0.364275,0.783536,2.373423,5,0.292637,18,0.519587,0.681036,Unclassified,1,0.7460504185,0.2280330111,0.0152777745,0.0044104795,,,,,,0.0038591732,,0.0023691432,,,,,,,,,,,,,,,,,,148,0.364275,0.783536,0.519587
P471,148,11.156,11.156,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.8074493364,0.1471486691,0.0230076792,0.0206552215,,,,,,,,0.0017390938,,,,,,,,,,,,,,,,,,148,0.08095,0.362155,0.05443
P472,148,12.363,12.363,0,0.060713,0.357064,1.064201,90,0.146319,3,0.035353,0.278032,Unclassified,1,0.781189906,0.1960513179,0.0120363709,0.0038978233,,,,0.001696881,,0.0030913658,,0.002036335,,,,,,,,,,,,,,,,,,148,0.060713,0.357064,0.035353
P473,148,12.499,12.499,0,0.202375,0.631455,1.899807,117,0.206926,10,0.215154,0.507614,Unclassified,1,0.7826634256,0.1915518134,0.0091728859,,,,,0.0021057866,,0.0133723026,,0.0011337858,,,,,,,,,,,,,,,,,,148,0.202375,0.631455,0.215154
P474,148,9.253,9.253,0,0.789263,1.098274,3.290288,0,0.4627,39,1.657092,1.002458,Unclassified,1,0.7589065758,0.1560640667,0.0360519567,0.0463484668,,,,0.0019485179,,,,0.0006804161,,,,,,,,,,,,,,,,,,148,0.789263,1.098274,1.657092
P475,148,11.736,11.736,0,0.202375,0.578346,1.718812,122,0.206926,10,0.215154,0.507614,Unclassified,1,0.7786176841,0.2040104902,0.0112591493,0.0045815162,,,,,,,,0.0015311602,,,,,,,,,,,,,,,,,,148,0.202375,0.578346,0.215154
P476,148,9.343,9.343,0,1.376151,1.483176,4.550667,50,0.585275,68,3.815162,1.323696,Unclassified,1,0.6008080663,0.2996073209,0.0354930325,0.0287618459,0.001796121,,,0.0053972707,,0.0170041646,,0.0063114767,0.0021777571,0.0026429444,,,,,,,,,,,,,,,,148,1.376151,1.483176,3.815162
P477,148,8.219,8.219,0,1.335676,1.423207,4.254754,53,0.585275,66,3.64809,1.304084,Unclassified,1,0.7447538428,0.1081558631,0.047798324,0.0955094327,,,,0.0007280918,,0.0030544456,,,,,,,,,,,,,,,,,,,,148,1.335676,1.423207,3.64809
P478,149,11.521,11.521,0,0.141663,0.490353,1.456557,42,0.206926,7,0.126008,0.4247,Unclassified,1,0.8034664276,0.1775594001,0.0082777973,0.010696375,,,,,,,,,,,,,,,,,,,,,,,,,,149,0.141663,0.490353,0.126008
P479,149,11.408,11.408,0,0.303563,0.706544,2.095985,58,0.292637,15,0.395263,0.621698,Unclassified,1,0.8094659493,0.1676042285,0.0109735057,0.011139295,,,,0.0008170215,,,,,,,,,,,,,,,,,,,,,,149,0.303563,0.706544,0.395263
P480,149,11.393,11.393,0,0.364275,0.764744,2.292163,146,0.327179,18,0.519587,0.681036,Unclassified,1,0.0001586887,0.6237667023,0.1931354966,0.0785397376,,,,,,,0.1043993748,,,,,,,,,,,,,,,,,,,149,0.364275,0.764744,0.519587
P481,149,12,12,0,0.121425,0.450148,1.341639,90,0.146319,6,0.099995,0.393196,Unclassified,1,0.7406032274,0.2236861097,0.0170084272,0.0028177768,,,,0.0013451972,,0.0103332962,,0.0010188983,,0.0031870672,,,,,,,,,,,,,,,,149,0.121425,0.450148,0.099995
P482,149,11.059,11.059,0,0.060713,0.357064,1.064201,90,0.146319,3,0.035353,0.278032,Unclassified,1,0.8066388066,0.1722943873,0.0099040566,0.0111627495,,,,,,,,,,,,,,,,,,,,,,,,,,149,0.060713,0.357064,0.035353
P483,149,11.126,11.126,0,0.829738,1.188774,3.637094,90,0.413852,41,1.786181,1.02784,Unclassified,1,0.666777188,0.0931544501,,,,0.1624261651,,,,,,0.0028796395,,,,0.0558545182,,,,,,,0.0189080392,,,,,,,149,0.829738,1.188774,1.786181
P484,151,10.157,10.157,0,0.344038,0.750978,2.258504,88,0.292637,17,0.476895,0.661848,Unclassified,1,0.7366673683,0.2273026633,0.0229586714,0.013071297,,,,,,,,,,,,,,,,,,,,,,,,,,151,0.344038,0.750978,0.476895
P485,151,12.822,12.822,0,0.1619,0.538141,1.603893,90,0.146319,8,0.153952,0.454024,Unclassified,1,0.7956776477,0.1753735498,,,,0.0289488025,,,,,,,,,,,,,,,,,,,,,,,,151,0.1619,0.538141,0.153952
P486,151,11.441,11.441,0,0.121425,0.463913,1.375298,141,0.206926,6,0.099995,0.393196,Unclassified,1,0.8005401307,0.1905246461,0.0045341322,,,,,,,0.004401091,,,,,,,,,,,,,,,,,,,,151,0.121425,0.463913,0.099995
P487,151,10.881,10.881,0,0.344038,0.780517,2.358239,91,0.292637,17,0.476895,0.661848,Unclassified,1,0.0004039623,0.6614251746,0.1433320625,0.047714816,0.0120427775,,,0.0353238993,,,0.0813823292,0.0183749786,,,,,,,,,,,,,,,,,,151,0.344038,0.780517,0.476895
P488,151,10.222,10.222,0,0.344038,0.834753,2.554418,50,0.292637,17,0.476895,0.661848,Unclassified,1,0.8354089378,0.1645910622,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,0.344038,0.834753,0.476895
P489,152,11.913,11.913,0,0.182138,0.556997,1.652735,164,0.206926,9,0.183702,0.481565,Unclassified,1,0.7873178182,0.172039261,0.019300477,0.0108108783,,,,0.0031859855,,0.004569958,,,,0.002775622,,,,,,,,,,,,,,,,152,0.182138,0.556997,0.183702
P490,152,12.226,12.226,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.8257821706,0.1414599416,0.0163731867,0.0146922447,,,,0.0016924563,,,,,,,,,,,,,,,,,,,,,,152,0.060713,0.335715,0.035353
P491,152,11.416,11.416,0,0.141663,0.587632,1.784888,81,0.146319,7,0.126008,0.4247,Unclassified,1,0.8012715356,0.1260303341,0.0296134395,0.0363430196,,,,0.0021625933,,0.0019051834,,0.0026738945,,,,,,,,,,,,,,,,,,152,0.141663,0.587632,0.126008
P492,152,11.503,11.503,0,0.182138,0.599695,1.784888,81,0.146319,9,0.183702,0.481565,Unclassified,1,0.8018934297,0.1901683713,0.0047814431,0.0031567559,,,,,,,,,,,,,,,,,,,,,,,,,,152,0.182138,0.599695,0.183702
P493,153,10.262,10.262,0,0.40475,0.812532,2.439499,77,0.292637,20,0.608548,0.717875,Unclassified,1,0.7024212312,0.2637633897,0.0211022172,0.0032544691,,,,,,0.0049968051,,0.0011797698,,0.0032821179,,,,,,,,,,,,,,,,153,0.40475,0.812532,0.608548
P494,153,11.951,11.951,0,0.060713,0.357064,1.064201,90,0.146319,3,0.035353,0.278032,Unclassified,1,0.8204793226,0.16978347,0.0066198316,0.0031173758,,,,,,,,,,,,,,,,,,,,,,,,,,153,0.060713,0.357064,0.035353
P495,153,10.992,10.992,0,0.3238,0.770633,2.307346,9,0.292637,16,0.435441,0.642087,Unclassified,1,0.7674353301,0.2202249485,0.0123397214,,,,,,,,,,,,,,,,,,,,,,,,,,,153,0.3238,0.770633,0.435441
P496,154,9.633,9.633,0,0.141663,0.511702,1.522634,77,0.146319,7,0.126008,0.4247,Unclassified,1,0.847922275,0.152077725,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,0.141663,0.511702,0.126008
P497,154,6.917,6.917,0,55.612709,13.625678,81.748023,89,1.609506,2748,980.109837,8.414767,Unclassified,1,0.9054706004,0.0925592728,,,,,,,,,,0.0019701268,,,,,,,,,,,,,,,,,,154,55.612709,13.625678,980.109837
P498,154,11.4,11.4,0,0.3238,0.781002,2.343056,90,0.292637,16,0.435441,0.642087,Unclassified,1,0.785723866,0.1833892071,0.0171959633,0.0077261656,,,,0.0020870265,,0.0038777715,,,,,,,,,,,,,,,,,,,,154,0.3238,0.781002,0.435441
P499,155,12.221,12.221,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.7911626384,0.1842239622,0.0119795542,,0.0011928956,,,0.0016858395,,0.00764789,,0.0021072201,,,,,,,,,,,,,,,,,,155,0.060713,0.335715,0.035353
P500,155,6.824,6.824,0,40.859556,9.875669,57.242178,49,1.316868,2019,617.240101,7.212767,Unclassified,1,0.9399056717,0.0586548543,,,,,,,,,,0.0014394741,,,,,,,,,,,,,,,,,,155,40.859556,9.875669,617.240101
P501,156,8.789,8.789,0,1.153539,1.398067,4.258046,97,0.585275,57,2.927938,1.211912,Unclassified,1,0.7728601591,0.1206148115,0.045881109,0.059044896,,,,,,,,0.0015990244,,,,,,,,,,,,,,,,,,156,1.153539,1.398067,2.927938
P502,156,11.807,11.807,0,0.283325,0.685195,2.029908,165,0.292637,14,0.356403,0.600617,Unclassified,1,0.7866503991,0.1490623237,0.0319055701,0.0272531902,,,,0.0020321321,,0.0030963848,,,,,,,,,,,,,,,,,,,,156,0.283325,0.685195,0.356403
P503,156,11.034,11.034,0,0.24285,0.631225,1.881331,90,0.292637,12,0.282827,0.556063,Unclassified,1,0.7521056631,0.2310765037,0.0168178332,,,,,,,,,,,,,,,,,,,,,,,,,,,156,0.24285,0.631225,0.282827
P504,158,10.419,10.419,0,0.870213,1.197968,3.637094,101,0.438956,43,1.918458,1.052611,Unclassified,1,0.7739773516,0.1556980452,0.0256735838,0.0376527178,,,,0.0026510234,,0.0033042736,,0.0010430047,,,,,,,,,,,,,,,,,,158,0.870213,1.197968,1.918458
P505,158,10.052,10.052,0,0.364275,0.765542,2.292163,35,0.292637,18,0.519587,0.681036,Unclassified,1,0.7533057172,0.1861884965,0.0309012097,0.0274232701,,,,0.0021813065,,,,,,,,,,,,,,,,,,,,,,158,0.364275,0.765542,0.519587
P506,158,10.72,10.72,0,0.384513,0.815033,2.473158,92,0.292637,19,0.563482,0.699698,Unclassified,1,0.7503236768,0.2158012294,0.0195590832,0.0120261268,,,,0.0010553136,,,,0.0012345702,,,,,,,,,,,,,,,,,,158,0.384513,0.815033,0.563482
P507,158,10.543,10.543,0,0.424988,0.865641,2.620494,75,0.292637,21,0.654755,0.735603,Unclassified,1,0.7660712362,0.2035443206,0.0141965596,0.0143634366,,,,0.001824447,,,,,,,,,,,,,,,,,,,,,,158,0.424988,0.865641,0.654755
P508,158,11.278,11.278,0,0.283325,0.692779,2.062326,104,0.292637,14,0.356403,0.600617,Unclassified,1,0.7407609661,0.2297312223,0.0147969565,,,,,0.0013898254,,0.0109895746,,0.0023314551,,,,,,,,,,,,,,,,,,158,0.283325,0.692779,0.356403
P509,159,11.635,11.635,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7729877709,0.2065742743,0.0125928535,,,,,,,0.0078451013,,,,,,,,,,,,,,,,,,,,159,0.08095,0.362155,0.05443
P510,160,9.683,9.683,0,0.526176,0.952923,3.01285,89,0.292637,26,0.902007,0.818503,Unclassified,1,0.7259285593,0.2323081276,0.0218918373,0.0165734751,,,,0.0011878749,,0.0021101257,,,,,,,,,,,,,,,,,,,,160,0.526176,0.952923,0.902007
P511,160,10.391,10.391,0,0.182138,0.569901,1.718812,88,0.206926,9,0.183702,0.481565,Unclassified,1,0.7512417177,0.183672806,0.0287868293,0.0304215801,,,,0.0019970501,,0.0026884209,,0.0011915959,,,,,,,,,,,,,,,,,,160,0.182138,0.569901,0.183702
P512,161,10.513,10.513,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7687445813,0.2165341708,0.0064512784,,,,,,,0.0033898427,,0.0013125778,,0.0035675489,,,,,,,,,,,,,,,,161,0.08095,0.362155,0.05443
P513,162,10.09,10.09,0,0.263088,0.662985,1.99625,139,0.292637,13,0.318907,0.578769,Unclassified,1,0.8445254394,0.1554745606,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,0.263088,0.662985,0.318907
P514,162,11.36,11.36,0,0.121425,0.463913,1.375298,141,0.206926,6,0.099995,0.393196,Unclassified,1,0.8102688261,0.1798715411,0.0032702998,,,,,,,0.006589333,,,,,,,,,,,,,,,,,,,,162,0.121425,0.463913,0.099995
P515,162,10.33,10.33,0,0.566651,0.95824,2.913115,0,0.413852,28,1.008061,0.849401,Unclassified,1,0.7452844732,0.201552148,0.0243418021,0.0246027365,,,,0.0011046112,,0.0022504633,,0.0008637656,,,,,,,,,,,,,,,,,,162,0.566651,0.95824,1.008061
P516,163,8.248,8.248,0,5.747456,6.975327,21.77788,43,0.4627,284,32.563207,2.70516,Unclassified,1,0.845933428,0.152159842,,,,,,,,,,0.0019067299,,,,,,,,,,,,,,,,,,163,5.747456,6.975327,32.563207
P517,163,10.146,10.146,0,0.728551,1.060483,3.193845,102,0.413852,36,1.469614,0.96313,Unclassified,1,0.6933746935,0.2158388664,0.0448849259,0.0216885629,,,,0.0023252709,,0.012326897,,0.0015791727,,,,,,,,0.0079816108,,,,,,,,,,163,0.728551,1.060483,1.469614
P518,163,10.57,10.57,0,0.586888,0.964843,2.931591,116,0.413852,29,1.062543,0.864436,Unclassified,1,0.7253800643,0.2466176669,0.0213800281,,,,,0.0012334794,,0.0053887613,,,,,,,,,,,,,,,,,,,,163,0.586888,0.964843,1.062543
P519,163,11.312,11.312,0,0.202375,0.578346,1.718812,90,0.292637,10,0.215154,0.507614,Unclassified,1,0.7807407309,0.2077561661,0.0060100425,,,,,,,0.0054930605,,,,,,,,,,,,,,,,,,,,163,0.202375,0.578346,0.215154
P520,164,8.455,8.455,0,11.4342,10.097001,31.468218,45,0.52756,565,91.373935,3.815557,Unclassified,1,0.8392516244,0.1596871358,,,,,,,,,,0.0010612398,,,,,,,,,,,,,,,,,,164,11.4342,10.097001,91.373935
P521,165,8.512,8.512,0,2.408265,2.08896,6.759519,161,0.603288,119,8.832224,1.751085,Unclassified,1,0.8542061989,0.1426371336,,,,,,,,,,0.0031566675,,,,,,,,,,,,,,,,,,165,2.408265,2.08896,8.832224
P522,165,11.85,11.85,0,0.485701,0.971629,2.964008,72,0.292637,24,0.799957,0.786392,Unclassified,1,0.7885329491,0.1139594943,,,,0.0650895721,,,,,,0.001248745,,,,0.01924352,,,,,,,0.0119257195,,,,,,,165,0.485701,0.971629,0.799957
P523,166,10.65,10.65,0,0.364275,0.768098,2.27698,78,0.292637,18,0.519587,0.681036,Unclassified,1,0.7591697899,0.2108678378,0.0105314116,0.0078947718,,,,0.0036977335,,0.0068680922,,0.0009703633,,,,,,,,,,,,,,,,,,166,0.364275,0.768098,0.519587
P524,167,10.309,10.309,0,0.263088,0.644991,1.91499,143,0.292637,13,0.318907,0.578769,Unclassified,1,0.6798991663,0.287303915,0.0268045627,,,,,0.0013046936,,0.0032449544,,,,0.0014427079,,,,,,,,,,,,,,,,167,0.263088,0.644991,0.318907
P525,167,9.532,9.532,0,0.465463,0.870731,2.635677,56,0.327179,23,0.750484,0.769835,Unclassified,1,0.6698962319,0.2944535089,0.0216279904,0.0056767672,,,,0.0017980557,,0.0045399054,,,,0.0020075406,,,,,,,,,,,,,,,,167,0.465463,0.870731,0.750484
P526,167,10.519,10.519,0,0.809501,1.202763,3.652278,125,0.413852,40,1.721233,1.015228,Unclassified,1,0.6673832475,0.2547120019,0.0336025326,0.0162387145,,,,0.0050433718,,0.0210315391,,0.0019885926,,,,,,,,,,,,,,,,,,167,0.809501,1.202763,1.721233
P527,168,9.008,9.008,0,11.697287,4.507079,14.756447,86,1.348992,578,94.54562,3.859203,Unclassified,1,0.8676734311,0.1313205789,,,,,,,,,,0.00100599,,,,,,,,,,,,,,,,,,168,11.697287,4.507079,94.54562
P528,168,10.245,10.245,0,0.283325,0.690453,2.095985,92,0.292637,14,0.356403,0.600617,Unclassified,1,4.2233061E-05,0.6872370383,0.1710270979,,,,,0.0161885591,,0.0135535789,0.1119514927,,,,,,,,,,,,,,,,,,,168,0.283325,0.690453,0.356403
P529,168,11.518,11.518,0,0.1619,0.54935,1.652735,16,0.206926,8,0.153952,0.454024,Unclassified,1,0.7778617304,0.1991380907,0.0109629977,0.0063057584,,,,0.0016793251,,0.0040520976,,,,,,,,,,,,,,,,,,,,168,0.1619,0.54935,0.153952
P530,168,10.107,10.107,0,0.283325,0.67143,1.99625,0,0.292637,14,0.356403,0.600617,Unclassified,1,4.6153416E-05,0.661447791,0.2168589553,,,,,,,0.0196812571,0.0943516562,0.007614187,,,,,,,,,,,,,,,,,,168,0.283325,0.67143,0.356403
P531,168,11.156,11.156,0,0.141663,0.511702,1.522634,77,0.146319,7,0.126008,0.4247,Unclassified,1,0.8202949421,0.1484010844,0.0134682686,0.0163020222,,,,0.0015336827,,,,,,,,,,,,,,,,,,,,,,168,0.141663,0.511702,0.126008
P532,168,10.741,10.741,0,0.607126,1.030394,3.127769,143,0.327179,30,1.117974,0.879213,Unclassified,1,0.7912064472,0.1856361195,0.0123787654,0.0107786678,,,,,,,,,,,,,,,,,,,,,,,,,,168,0.607126,1.030394,1.117974
P533,169,11.814,11.814,0,0.121425,0.463913,1.375298,39,0.206926,6,0.099995,0.393196,Unclassified,1,0.8091536536,0.1653911289,0.0155660524,0.0059735685,,,,0.0028091442,,,,0.0011064524,,,,,,,,,,,,,,,,,,169,0.121425,0.463913,0.099995
P534,169,10.929,10.929,0,0.060713,0.335715,0.998125,139,0.146319,3,0.035353,0.278032,Unclassified,1,0.8155901295,0.1828918577,,,,,,,,,,0.0015180128,,,,,,,,,,,,,,,,,,169,0.060713,0.335715,0.035353
P535,169,10.953,10.953,0,1.639239,2.316663,7.772827,170,0.413852,81,4.959949,1.444695,Unclassified,1,0.831805481,0.168194519,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,1.639239,2.316663,4.959949
P536,169,9.674,9.674,0,0.485701,0.905846,2.735412,69,0.327179,24,0.799957,0.786392,Unclassified,1,0.653419079,0.2753519088,,,,,,,,0.0282872656,,0.0013181487,,0.0416235979,,,,,,,,,,,,,,,,169,0.485701,0.905846,0.799957
P537,169,14.911,14.911,0,0.971401,1.376435,4.209204,90,0.413852,48,2.262619,1.112127,Unclassified,1,0.8112739445,0.1656548717,,,,,,,,0.0035392895,,0.001760982,,,,0.0177709123,,,,,,,,,,,,,,169,0.971401,1.376435,2.262619
P538,170,12.618,12.618,0,0.202375,0.578346,1.718812,90,0.206926,10,0.215154,0.507614,Unclassified,1,0.7992042503,0.1356771232,0.0248970528,0.030141362,,,,0.0057332852,,0.0043469264,,,,,,,,,,,,,,,,,,,,170,0.202375,0.578346,0.215154
P539,170,10.922,10.922,0,0.283325,0.747853,2.292163,42,0.206926,14,0.356403,0.600617,Unclassified,1,0.7896266176,0.1805605433,0.0111320598,0.007430029,,,,0.0027556343,,0.0042466995,,0.0007918514,,0.0034565652,,,,,,,,,,,,,,,,170,0.283325,0.747853,0.356403
P540,170,10.741,10.741,0,0.3238,0.739102,2.210903,141,0.292637,16,0.435441,0.642087,Unclassified,1,0.5931908151,0.3148274005,0.0080508482,,0.0130838246,0.012670697,,0.0026425388,,,,0.047853654,0.0022153702,0.0054648516,,,,,,,,,,,,,,,,170,0.3238,0.739102,0.435441
P541,170,9.629,9.629,0,17.323318,5.644372,22.284723,100,1.441072,856,170.396356,4.69646,Unclassified,1,0.915520529,0.0831231902,,,,,,,,,,0.0013562808,,,,,,,,,,,,,,,,,,170,17.323318,5.644372,170.396356
P542,171,7.785,7.785,0,13.032964,4.987398,16.335711,157,1.324972,644,111.193258,4.073584,Unclassified,1,0.8912362522,0.1087637478,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,13.032964,4.987398,111.193258
P543,171,11.202,11.202,0,0.202375,0.627837,1.899807,103,0.206926,10,0.215154,0.507614,Unclassified,1,0.8417115787,0.1582884213,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,0.202375,0.627837,0.215154
P544,171,11.268,11.268,0,0.101188,0.455468,1.375298,141,0.146319,5,0.076068,0.358937,Unclassified,1,0.8132103715,0.1853286239,,,,,,,,,,0.0014610046,,,,,,,,,,,,,,,,,,171,0.101188,0.455468,0.076068
P545,171,11.425,11.425,0,0.141663,0.511702,1.522634,77,0.146319,7,0.126008,0.4247,Unclassified,1,0.8118955668,0.1627858387,0.0116856439,0.009557079,,,,0.0040758716,,,,,,,,,,,,,,,,,,,,,,171,0.141663,0.511702,0.126008
P546,172,11.314,11.314,0,0.182138,0.61346,1.818547,61,0.206926,9,0.183702,0.481565,Unclassified,1,0.80330962,0.1888556222,0.0049685116,,,,,,,0.0028662462,,,,,,,,,,,,,,,,,,,,172,0.182138,0.61346,0.183702
P547,172,10.927,10.927,0,0.1619,0.543461,1.637552,67,0.206926,8,0.153952,0.454024,Unclassified,1,0.7828259937,0.2069410603,0.0084197636,,,,,0.0018131824,,,,,,,,,,,,,,,,,,,,,,172,0.1619,0.543461,0.153952
P548,172,11.541,11.541,0,0.24285,0.618551,1.83373,0,0.206926,12,0.282827,0.556063,Unclassified,1,0.7966352283,0.1786658783,0.0127518697,0.0048628097,,,,0.0035627895,,0.0035214244,,,,,,,,,,,,,,,,,,,,172,0.24285,0.618551,0.282827
P549,174,9.149,9.149,0,0.101188,0.428799,1.275563,19,0.146319,5,0.076068,0.358937,Unclassified,1,0.8734820343,0.1265179657,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,0.101188,0.428799,0.076068
P550,174,8.031,8.031,0,10.179473,5.350215,21.239769,33,0.925401,503,76.754109,3.600126,Unclassified,1,0.928210071,0.071789929,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,10.179473,5.350215,76.754109
P551,174,10.362,10.362,0,0.101188,0.423708,1.260379,67,0.146319,5,0.076068,0.358937,Unclassified,1,0.7873012623,0.1935552228,0.0078797229,0.0102698945,,,,0.0009938974,,,,,,,,,,,,,,,,,,,,,,174,0.101188,0.423708,0.076068
P552,174,10.109,10.109,0,0.586888,1.013493,3.046509,138,0.327179,29,1.062543,0.864436,Unclassified,1,0.7852603469,0.1584798839,0.0250254511,0.0286852359,,,,0.0009248715,,0.0016242108,,,,,,,,,,,,,,,,,,,,174,0.586888,1.013493,1.062543
P553,174,10.994,10.994,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7768173852,0.2080444124,0.0109083535,0.0027569145,,,,0.0014729344,,,,,,,,,,,,,,,,,,,,,,174,0.08095,0.362155,0.05443
P554,175,9.696,9.696,0,0.485701,0.908971,2.701754,68,0.292637,24,0.799957,0.786392,Unclassified,1,0.7467363282,0.1643865453,0.0391437909,0.0441252638,,,,0.0025738275,,0.0030342444,,,,,,,,,,,,,,,,,,,,175,0.485701,0.908971,0.799957
P555,176,12.106,12.106,0,0.141663,0.508347,1.537817,40,0.146319,7,0.126008,0.4247,Unclassified,1,0.7915654759,0.1349863615,0.0390524385,0.0278839433,,,,0.0038959545,,0.0014609617,,0.0011548646,,,,,,,,,,,,,,,,,,176,0.141663,0.508347,0.126008
P556,176,11.52,11.52,0,0.24285,0.658693,1.981066,68,0.292637,12,0.282827,0.556063,Unclassified,1,0.7966029035,0.1862211713,0.0063271644,0.0066061083,,,,0.0025896313,,0.0016530212,,,,,,,,,,,,,,,,,,,,176,0.24285,0.658693,0.282827
P557,176,11.584,11.584,0,0.1619,0.516792,1.537817,40,0.206926,8,0.153952,0.454024,Unclassified,1,0.7681968906,0.2022783392,0.0123726146,0.0043897605,,,,0.0037242227,,0.0073525478,,,,0.0016856245,,,,,,,,,,,,,,,,176,0.1619,0.516792,0.153952
P558,176,9.769,9.769,0,0.424988,0.838972,2.520759,67,0.292637,21,0.654755,0.735603,Unclassified,1,0.6803964338,0.2833872173,0.0274455033,0.0037021097,,,,0.001876859,,0.0017973113,,,,0.0013945657,,,,,,,,,,,,,,,,176,0.424988,0.838972,0.654755
P559,177,9.726,9.726,0,1.315439,1.778861,5.824178,11,0.413852,65,3.565494,1.294167,Unclassified,1,0.835551614,0.164448386,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1.315439,1.778861,3.565494
P560,177,11.122,11.122,0,0.1619,0.516792,1.537817,140,0.206926,8,0.153952,0.454024,Unclassified,1,0.7809118831,0.1824527356,0.0187323562,0.0113293079,,,,0.0025662986,,0.0025436993,,0.0014637193,,,,,,,,,,,,,,,,,,177,0.1619,0.516792,0.153952
P561,177,10.396,10.396,0,0.3238,0.777352,2.358239,111,0.292637,16,0.435441,0.642087,Unclassified,1,0.7852892533,0.1506405104,0.0278253041,0.0312434571,,,,0.0010848298,,0.0023254965,,0.0015911489,,,,,,,,,,,,,,,,,,177,0.3238,0.777352,0.435441
P562,177,10.433,10.433,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.7674375199,0.2223892316,0.0089458427,,,,,,,0.0012274057,,,,,,,,,,,,,,,,,,,,177,0.060713,0.335715,0.035353
P563,177,10.733,10.733,0,0.1619,0.516792,1.537817,140,0.206926,8,0.153952,0.454024,Unclassified,1,0.7745496056,0.2019738584,0.0141329896,0.0082536434,,,,0.0010899031,,,,,,,,,,,,,,,,,,,,,,177,0.1619,0.516792,0.153952
P564,177,10.638,10.638,0,0.849976,1.203161,3.682644,15,0.413852,42,1.851926,1.040299,Unclassified,1,0.7019462404,0.2420066554,0.0248735933,0.0051258775,,,,0.0045397845,,0.0186014345,,0.0014815777,,0.0014248368,,,,,,,,,,,,,,,,177,0.849976,1.203161,1.851926
P565,179,8.495,8.495,0,11.859188,4.349908,14.260253,32,1.582679,586,96.515281,3.885819,Unclassified,1,0.8861742544,0.1138257456,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,11.859188,4.349908,96.515281
P566,179,9.973,9.973,0,5.868881,3.865131,13.238347,120,0.731594,290,33.600571,2.733586,Unclassified,1,0.9523891379,0.0476108621,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,5.868881,3.865131,33.600571
P567,180,8.357,8.357,0,2.69159,2.535453,8.058901,123,0.654357,133,10.435833,1.851226,Unclassified,1,0.8703271712,0.1283887186,,,,,,,,,,0.0012841102,,,,,,,,,,,,,,,,,,180,2.69159,2.535453,10.435833
P568,182,10.601,10.601,0,0.283325,0.703988,2.111168,155,0.292637,14,0.356403,0.600617,Unclassified,1,0.8016782985,0.1435206078,0.0242364249,0.0295081444,,,,,,,,0.0010565244,,,,,,,,,,,,,,,,,,182,0.283325,0.703988,0.356403
